dataset_size,max_depth,min_samples_split,my_tree_accuracy,my_tree_precision,my_tree_recall,my_tree_depth,my_tree_num_nodes,my_tree_training_time,my_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_tree_depth,sklearn_num_nodes,sklearn_training_time,sklearn_memory_usage
57,2,32,0.8947368421052632,0.8928571428571428,0.9142857142857144,1,3,0.0010449886322021484,1831.5,0.9298245614035088,0.9406207827260459,0.9298245614035088,1,3,0.0002529621124267578,1831.5
68,2,32,0.9117647058823529,0.9117647058823529,0.925,2,5,0.002153158187866211,1831.5,0.9411764705882353,0.9485294117647058,0.9411764705882353,2,5,0.0003273487091064453,1831.5
79,2,32,0.8860759493670886,0.8849358974358974,0.8992686170212766,2,7,0.002953052520751953,1831.5,0.9746835443037974,0.9761727475800448,0.9746835443037974,2,5,0.00036025047302246094,1831.5
91,2,32,0.9010989010989011,0.9002415458937199,0.9113704071499504,2,7,0.0032219886779785156,1831.5,0.978021978021978,0.9791208791208791,0.978021978021978,2,5,0.0003859996795654297,1831.5
102,2,32,0.9019607843137255,0.9019607843137255,0.9180327868852459,2,5,0.002402067184448242,1831.5,0.9901960784313726,0.9903542061986085,0.9901960784313726,2,7,0.0004563331604003906,1831.5
114,2,32,0.9035087719298246,0.9020935960591132,0.9147348364560177,2,7,0.0035979747772216797,1831.5,0.9912280701754386,0.9913570691434469,0.9912280701754386,2,7,0.0005059242248535156,1831.5
11,2,64,0.9090909090909091,0.45454545454545453,0.5,0,1,3.0994415283203125e-06,1831.5,0.9090909090909091,0.8264462809917354,0.9090909090909091,0,1,0.0001652240753173828,1831.5
22,2,64,0.6818181818181818,0.3409090909090909,0.5,0,1,3.0994415283203125e-06,1831.5,0.6818181818181818,0.4648760330578512,0.6818181818181818,0,1,0.00015997886657714844,1831.5
34,2,64,0.6470588235294118,0.3235294117647059,0.5,0,1,4.0531158447265625e-06,1831.5,0.6470588235294118,0.41868512110726647,0.6470588235294118,0,1,0.00016808509826660156,1831.5
45,2,64,0.6222222222222222,0.3111111111111111,0.5,0,1,3.814697265625e-06,1831.5,0.6222222222222222,0.38716049382716056,0.6222222222222222,0,1,0.0001609325408935547,1831.5
57,2,64,0.6140350877192983,0.30701754385964913,0.5,0,1,6.198883056640625e-06,1831.5,0.6140350877192983,0.3770390889504463,0.6140350877192983,0,1,0.0001659393310546875,1831.5
68,2,64,0.9117647058823529,0.9117647058823529,0.925,1,3,0.0011489391326904297,1831.5,0.9411764705882353,0.9485294117647058,0.9411764705882353,1,3,0.0002639293670654297,1831.5
79,2,64,0.8860759493670886,0.8849358974358974,0.8992686170212766,1,3,0.0012369155883789062,1831.5,0.9240506329113924,0.9326486744685933,0.9240506329113924,1,3,0.0002830028533935547,1831.5
91,2,64,0.9010989010989011,0.9002415458937199,0.9113704071499504,1,3,0.0013430118560791016,1831.5,0.9340659340659341,0.9407710933134662,0.9340659340659341,1,3,0.00030803680419921875,1831.5
102,2,64,0.9019607843137255,0.9019607843137255,0.9180327868852459,1,3,0.0014679431915283203,1831.5,0.9803921568627451,0.9803921568627451,0.9803921568627451,2,5,0.00041413307189941406,1831.5
114,2,64,0.9035087719298246,0.9020935960591132,0.9147348364560177,1,3,0.0015718936920166016,1831.5,0.9824561403508771,0.9824561403508771,0.9824561403508771,2,5,0.0004527568817138672,1831.5
11,4,2,1.0,1.0,1.0,3,7,0.0016720294952392578,1831.5,1.0,1.0,1.0,1,3,0.00017833709716796875,1831.5
22,4,2,1.0,1.0,1.0,4,9,0.0025370121002197266,1831.5,1.0,1.0,1.0,1,3,0.00022721290588378906,1831.5
34,4,2,0.9705882352941176,0.9782608695652174,0.9583333333333333,4,9,0.0027298927307128906,1831.5,1.0,1.0,1.0,2,5,0.00025916099548339844,1831.5
45,4,2,0.9777777777777777,0.9827586206896552,0.9705882352941176,4,9,0.002891063690185547,1831.5,1.0,1.0,1.0,2,7,0.0003037452697753906,1831.5
57,4,2,0.9824561403508771,0.9861111111111112,0.9772727272727273,4,9,0.003090381622314453,1831.5,1.0,1.0,1.0,4,9,0.0003116130828857422,1831.5
68,4,2,0.9852941176470589,0.9827586206896552,0.9875,4,9,0.0033321380615234375,1831.5,1.0,1.0,1.0,4,9,0.000331878662109375,1831.5
79,4,2,0.9620253164556962,0.97,0.953125,4,15,0.005684852600097656,1831.5,1.0,1.0,1.0,4,9,0.0003871917724609375,1831.5
91,4,2,0.967032967032967,0.9647435897435896,0.9679741807348561,4,15,0.006007194519042969,1831.5,1.0,1.0,1.0,4,9,0.00041794776916503906,1831.5
102,4,2,0.9705882352941176,0.9765625,0.9634146341463414,4,9,0.003779172897338867,1831.5,1.0,1.0,1.0,4,11,0.0005669593811035156,1831.5
114,4,2,0.9649122807017544,0.9616954474097332,0.966973642426167,4,17,0.007036924362182617,1831.5,1.0,1.0,1.0,4,11,0.0006241798400878906,1831.5
11,4,4,0.9090909090909091,0.45454545454545453,0.5,2,5,0.0011739730834960938,1831.5,1.0,1.0,1.0,1,3,0.00018525123596191406,1831.5
22,4,4,0.9545454545454546,0.96875,0.9285714285714286,3,7,0.0018901824951171875,1831.5,1.0,1.0,1.0,1,3,0.0002009868621826172,1831.5
34,4,4,0.9705882352941176,0.9782608695652174,0.9583333333333333,4,9,0.0026199817657470703,1831.5,1.0,1.0,1.0,2,5,0.00026798248291015625,1831.5
45,4,4,0.9777777777777777,0.9827586206896552,0.9705882352941176,4,9,0.0028061866760253906,1831.5,1.0,1.0,1.0,2,7,0.0002982616424560547,1831.5
57,4,4,0.9824561403508771,0.9861111111111112,0.9772727272727273,4,9,0.0030422210693359375,1831.5,1.0,1.0,1.0,4,9,0.00030803680419921875,1831.5
68,4,4,0.9852941176470589,0.9827586206896552,0.9875,4,9,0.0032203197479248047,1831.5,1.0,1.0,1.0,4,9,0.0004031658172607422,1831.5
79,4,4,0.9620253164556962,0.97,0.953125,4,15,0.005557060241699219,1831.5,0.9873417721518988,0.9876054852320675,0.9873417721518988,3,7,0.0003800392150878906,1831.5
91,4,4,0.967032967032967,0.9647435897435896,0.9679741807348561,4,15,0.0059359073638916016,1831.5,0.989010989010989,0.9892144892144892,0.989010989010989,3,7,0.0004069805145263672,1831.5
102,4,4,0.9705882352941176,0.9765625,0.9634146341463414,4,9,0.0038139820098876953,1831.5,0.9901960784313726,0.9903542061986085,0.9901960784313726,3,9,0.0005619525909423828,1831.5
114,4,4,0.9649122807017544,0.9616954474097332,0.966973642426167,4,17,0.007097005844116211,1831.5,0.9912280701754386,0.9913570691434469,0.9912280701754386,3,9,0.0006310939788818359,1831.5
