dataset_size,max_depth,min_samples_split,my_tree_accuracy,my_tree_precision,my_tree_recall,my_tree_depth,my_tree_num_nodes,my_tree_training_time,my_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_tree_depth,sklearn_num_nodes,sklearn_training_time,sklearn_memory_usage
2324,2,16,0.6424268502581756,0.2709880023820818,0.2881723090627766,2,7,0.08738422393798828,1885.0,0.6764199655765921,0.6164594684145418,0.6764199655765921,2,7,0.002646923065185547,1885.0
3486,2,16,0.6411359724612736,0.2683592599480935,0.298769288498442,2,7,0.1282510757446289,1885.0,0.674411933448078,0.6151594758888919,0.674411933448078,2,7,0.0036628246307373047,1885.0
4648,2,16,0.641566265060241,0.2695661393865886,0.2960480416875331,2,7,0.1731739044189453,1885.0,0.6725473321858864,0.6145040459582333,0.6725473321858864,2,7,0.004760265350341797,1885.0
5810,2,16,0.6440619621342513,0.2696267882933027,0.29370735461072833,2,7,0.21674585342407227,1885.0,0.6726333907056798,0.6144566872387723,0.6726333907056798,2,7,0.005739927291870117,1885.0
6972,2,16,0.6434308663224326,0.2691632162760666,0.29281921345756184,2,7,0.2598710060119629,1885.0625,0.6732644865174986,0.6152927176237195,0.6732644865174986,2,7,0.007225990295410156,1885.0625
8134,2,16,0.6426112613720187,0.2701530448867498,0.2936103494888666,2,7,0.31539297103881836,1885.0625,0.6753134988935333,0.6171231862546297,0.6753134988935333,2,7,0.008021116256713867,1885.0625
9296,2,16,0.6421041308089501,0.2697808901685292,0.29151522117272705,2,7,0.3606688976287842,1885.0625,0.6720094664371773,0.6146940098926927,0.6720094664371773,2,7,0.00902414321899414,1885.0625
10458,2,16,0.6419965576592083,0.26959918508100994,0.29217895180208553,2,7,0.4090888500213623,1885.078125,0.6711608338114362,0.6137074336033039,0.6711608338114362,2,7,0.010952949523925781,1885.078125
11621,2,16,0.643404182084158,0.2704145008358986,0.29364358077132735,2,7,0.49220895767211914,1885.09375,0.6705102831081663,0.6129840477718717,0.6705102831081663,2,7,0.0108489990234375,1885.09375
1162,2,32,0.6368330464716007,0.27268566186176674,0.3017854786722712,2,7,0.0495760440826416,1885.09375,0.6858864027538726,0.6257778493428642,0.6858864027538726,2,7,0.0015327930450439453,1885.09375
2324,2,32,0.6424268502581756,0.2709880023820818,0.2881723090627766,2,7,0.09066271781921387,1885.09375,0.6764199655765921,0.6164594684145418,0.6764199655765921,2,7,0.002646923065185547,1885.09375
3486,2,32,0.6411359724612736,0.2683592599480935,0.298769288498442,2,7,0.13286924362182617,1885.09375,0.674411933448078,0.6151594758888919,0.674411933448078,2,7,0.003618955612182617,1885.09375
4648,2,32,0.641566265060241,0.2695661393865886,0.2960480416875331,2,7,0.18534088134765625,1885.09375,0.6725473321858864,0.6145040459582333,0.6725473321858864,2,7,0.0046117305755615234,1885.09375
5810,2,32,0.6440619621342513,0.2696267882933027,0.29370735461072833,2,7,0.26186513900756836,1886.078125,0.6726333907056798,0.6144566872387723,0.6726333907056798,2,7,0.005755901336669922,1886.078125
6972,2,32,0.6434308663224326,0.2691632162760666,0.29281921345756184,2,7,0.27175116539001465,1886.109375,0.6732644865174986,0.6152927176237195,0.6732644865174986,2,7,0.007476091384887695,1886.109375
8134,2,32,0.6426112613720187,0.2701530448867498,0.2936103494888666,2,7,0.32268500328063965,1886.109375,0.6753134988935333,0.6171231862546297,0.6753134988935333,2,7,0.007992982864379883,1886.109375
9296,2,32,0.6421041308089501,0.2697808901685292,0.29151522117272705,2,7,0.3662111759185791,1886.109375,0.6720094664371773,0.6146940098926927,0.6720094664371773,2,7,0.00893712043762207,1886.109375
10458,2,32,0.6419965576592083,0.26959918508100994,0.29217895180208553,2,7,0.4142329692840576,1886.109375,0.6711608338114362,0.6137074336033039,0.6711608338114362,2,7,0.00987696647644043,1886.109375
11621,2,32,0.643404182084158,0.2704145008358986,0.29364358077132735,2,7,0.45748019218444824,1886.125,0.6705102831081663,0.6129840477718717,0.6705102831081663,2,7,0.010926246643066406,1886.125
1162,2,64,0.6368330464716007,0.27268566186176674,0.3017854786722712,2,7,0.04802417755126953,1886.125,0.6858864027538726,0.6257778493428642,0.6858864027538726,2,7,0.001508951187133789,1886.125
2324,2,64,0.6424268502581756,0.2709880023820818,0.2881723090627766,2,7,0.09095501899719238,1886.125,0.6764199655765921,0.6164594684145418,0.6764199655765921,2,7,0.002629995346069336,1886.125
3486,2,64,0.6411359724612736,0.2683592599480935,0.298769288498442,2,7,0.13617205619812012,1886.15625,0.674411933448078,0.6151594758888919,0.674411933448078,2,7,0.003632068634033203,1886.15625
