dataset_size,max_depth,min_samples_split,my_tree_accuracy,my_tree_precision,my_tree_recall,my_tree_depth,my_tree_num_nodes,my_tree_training_time,my_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_tree_depth,sklearn_num_nodes,sklearn_training_time,sklearn_memory_usage
24,2,32,0.4583333333333333,0.15277777777777776,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.4583333333333333,0.21006944444444442,0.4583333333333333,0,1,0.00017905235290527344,1831.125
27,2,32,0.4074074074074074,0.13580246913580246,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.4074074074074074,0.16598079561042522,0.4074074074074074,0,1,0.00016927719116210938,1831.125
30,2,32,0.43333333333333335,0.14444444444444446,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.43333333333333335,0.1877777777777778,0.43333333333333335,0,1,0.0001671314239501953,1831.125
3,2,64,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00016689300537109375,1831.125
6,2,64,0.5,0.16666666666666666,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.5,0.25,0.5,0,1,0.00016999244689941406,1831.125
9,2,64,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,2.86102294921875e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00023889541625976562,1831.125
12,2,64,0.4166666666666667,0.1388888888888889,0.3333333333333333,0,1,2.86102294921875e-06,1831.125,0.4166666666666667,0.17361111111111113,0.4166666666666667,0,1,0.00019502639770507812,1831.125
15,2,64,0.5333333333333333,0.17777777777777778,0.3333333333333333,0,1,3.0994415283203125e-06,1831.125,0.5333333333333333,0.28444444444444444,0.5333333333333333,0,1,0.0001819133758544922,1831.125
18,2,64,0.5555555555555556,0.1851851851851852,0.3333333333333333,0,1,2.6226043701171875e-06,1831.125,0.5555555555555556,0.30864197530864196,0.5555555555555556,0,1,0.00017714500427246094,1831.125
21,2,64,0.47619047619047616,0.15873015873015872,0.3333333333333333,0,1,1.6689300537109375e-06,1831.125,0.47619047619047616,0.22675736961451248,0.47619047619047616,0,1,0.0001819133758544922,1831.125
24,2,64,0.4583333333333333,0.15277777777777776,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.4583333333333333,0.21006944444444442,0.4583333333333333,0,1,0.0001709461212158203,1831.125
27,2,64,0.4074074074074074,0.13580246913580246,0.3333333333333333,0,1,1.9073486328125e-06,1831.125,0.4074074074074074,0.16598079561042522,0.4074074074074074,0,1,0.0001659393310546875,1831.125
30,2,64,0.43333333333333335,0.14444444444444446,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.43333333333333335,0.1877777777777778,0.43333333333333335,0,1,0.0001671314239501953,1831.125
3,4,2,1.0,1.0,1.0,2,5,0.00021219253540039062,1831.125,1.0,1.0,1.0,2,5,0.00019693374633789062,1831.125
6,4,2,1.0,1.0,1.0,2,5,0.0001971721649169922,1831.125,1.0,1.0,1.0,2,5,0.00018286705017089844,1831.125
9,4,2,1.0,1.0,1.0,3,9,0.00036907196044921875,1831.125,1.0,1.0,1.0,2,5,0.00018310546875,1831.125
12,4,2,1.0,1.0,1.0,3,9,0.00038504600524902344,1831.125,1.0,1.0,1.0,2,5,0.0001766681671142578,1831.125
15,4,2,1.0,1.0,1.0,3,11,0.0004742145538330078,1831.125,1.0,1.0,1.0,2,5,0.00017881393432617188,1831.125
18,4,2,1.0,1.0,1.0,4,13,0.0005679130554199219,1831.125,1.0,1.0,1.0,2,5,0.0001800060272216797,1831.125
21,4,2,1.0,1.0,1.0,4,13,0.0005822181701660156,1831.125,1.0,1.0,1.0,2,5,0.00018095970153808594,1831.125
24,4,2,1.0,1.0,1.0,4,15,0.0006740093231201172,1831.125,1.0,1.0,1.0,2,5,0.00017690658569335938,1831.125
27,4,2,1.0,1.0,1.0,4,17,0.0007891654968261719,1831.125,1.0,1.0,1.0,4,9,0.0001850128173828125,1831.125
30,4,2,0.9333333333333333,0.9555555555555556,0.8888888888888888,4,15,0.0007119178771972656,1831.125,1.0,1.0,1.0,4,9,0.0001811981201171875,1831.125
3,4,4,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,2.1457672119140625e-06,1831.125,0.3333333333333333,0.1111111111111111,0.3333333333333333,0,1,0.00016617774963378906,1831.125
6,4,4,0.8333333333333334,0.5555555555555555,0.6666666666666666,1,3,0.0001049041748046875,1831.125,0.8333333333333334,0.7222222222222222,0.8333333333333334,1,3,0.0001697540283203125,1831.125
9,4,4,0.8888888888888888,0.9166666666666666,0.8888888888888888,2,7,0.0002827644348144531,1831.125,1.0,1.0,1.0,2,5,0.0001690387725830078,1831.125
12,4,4,0.9166666666666666,0.9444444444444445,0.9166666666666666,2,7,0.00029921531677246094,1831.125,1.0,1.0,1.0,2,5,0.00016999244689941406,1831.125
15,4,4,0.9333333333333333,0.9629629629629629,0.9166666666666666,3,9,0.00039696693420410156,1831.125,1.0,1.0,1.0,2,5,0.00017380714416503906,1831.125
18,4,4,0.8888888888888888,0.9444444444444445,0.8333333333333334,3,9,0.0004260540008544922,1831.125,1.0,1.0,1.0,2,5,0.0001709461212158203,1831.125
21,4,4,0.9047619047619048,0.9444444444444445,0.8666666666666667,3,9,0.0004169940948486328,1831.125,1.0,1.0,1.0,2,5,0.0001728534698486328,1831.125
24,4,4,0.9166666666666666,0.9487179487179488,0.8916666666666666,3,11,0.0005178451538085938,1831.125,1.0,1.0,1.0,2,5,0.00017070770263671875,1831.125
27,4,4,0.8888888888888888,0.8808080808080808,0.883838383838384,3,11,0.0005309581756591797,1831.125,0.9629629629629629,0.9660493827160493,0.9629629629629629,3,7,0.00017690658569335938,1831.125
30,4,4,0.9333333333333333,0.9188034188034188,0.9188034188034188,4,13,0.0006399154663085938,1831.125,0.9666666666666667,0.9690476190476189,0.9666666666666667,3,7,0.00017499923706054688,1831.125
